epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.837,2.09519,26.8757,0.00168,0.79857,0.55732,0.63042,0.29171,1.8541,15.0507,0.00211,0.000663664,0.000663664,0.000663664
2,254.957,2.10947,10.8558,0.00163,0.75047,0.57653,0.67299,0.29722,1.88177,6.66276,0.0022,0.00131387,0.00131387,0.00131387
3,365.92,2.1042,5.18781,0.00161,0.79393,0.6869,0.72726,0.36081,1.88834,3.39863,0.00221,0.00194757,0.00194757,0.00194757
4,478.717,2.04878,3.13657,0.00159,0.78136,0.64537,0.71255,0.35419,1.8421,2.59898,0.00219,0.00192575,0.00192575,0.00192575
5,604.408,2.04085,2.27622,0.00159,0.81206,0.66454,0.75567,0.37204,1.84186,1.78667,0.00213,0.001901,0.001901,0.001901
6,729.487,1.99997,1.86348,0.00154,0.75026,0.70064,0.74388,0.35716,1.85548,1.59814,0.00218,0.00187625,0.00187625,0.00187625
7,853,1.99767,1.67943,0.00153,0.87126,0.63578,0.74958,0.35598,1.93043,1.60669,0.00218,0.0018515,0.0018515,0.0018515
8,980.527,1.95799,1.55775,0.0015,0.84589,0.68051,0.74822,0.37425,1.77739,1.41722,0.00202,0.00182675,0.00182675,0.00182675
9,1124.75,1.95032,1.45939,0.0015,0.87903,0.70927,0.80681,0.39193,1.85065,1.3019,0.00213,0.001802,0.001802,0.001802
10,1250.44,1.97147,1.39529,0.00149,0.88019,0.72762,0.81162,0.38872,1.80584,1.29855,0.00206,0.00177725,0.00177725,0.00177725
11,1368.97,1.95521,1.34686,0.00152,0.90698,0.67732,0.80098,0.35819,1.99227,1.3006,0.00225,0.0017525,0.0017525,0.0017525
12,1493.87,1.95069,1.30221,0.00147,0.88568,0.71885,0.80061,0.4125,1.7311,1.15245,0.00198,0.00172775,0.00172775,0.00172775
13,1618.64,1.90745,1.25589,0.00149,0.88844,0.72843,0.8307,0.41692,1.78281,1.11951,0.00207,0.001703,0.001703,0.001703
14,1740.7,1.934,1.16895,0.00149,0.89797,0.72524,0.83572,0.40955,1.82052,1.03413,0.00207,0.00167825,0.00167825,0.00167825
15,1860.08,1.94816,1.17462,0.00146,0.88208,0.72843,0.81861,0.38173,1.90833,1.12643,0.00213,0.0016535,0.0016535,0.0016535
16,1985.8,1.89062,1.21116,0.00144,0.87901,0.7508,0.83329,0.43382,1.72416,1.00792,0.00198,0.00162875,0.00162875,0.00162875
17,2116.14,1.91993,1.15066,0.00141,0.89631,0.74121,0.83637,0.44125,1.73544,0.98633,0.00198,0.001604,0.001604,0.001604
18,2259.3,1.91243,1.09587,0.00142,0.94489,0.71209,0.84166,0.40413,1.82295,1.02861,0.00205,0.00157925,0.00157925,0.00157925
19,2384.09,1.84332,1.05471,0.00142,0.8897,0.76997,0.84309,0.43016,1.75941,0.97266,0.00207,0.0015545,0.0015545,0.0015545
20,2502.83,1.93207,1.07567,0.00143,0.92626,0.74441,0.84082,0.39794,1.86939,0.98676,0.00212,0.00152975,0.00152975,0.00152975
21,2623.6,1.84878,0.99804,0.00136,0.87492,0.75985,0.84315,0.4292,1.73898,0.94239,0.002,0.001505,0.001505,0.001505
22,2744.64,1.87419,1.0387,0.00143,0.87682,0.75719,0.83586,0.42651,1.74918,1.00956,0.00199,0.00148025,0.00148025,0.00148025
23,2878.54,1.82923,1.06432,0.00135,0.86172,0.79636,0.85741,0.44277,1.70366,0.93088,0.00194,0.0014555,0.0014555,0.0014555
24,3003.25,1.84032,0.98011,0.00138,0.89019,0.76677,0.85491,0.43541,1.70238,0.97106,0.002,0.00143075,0.00143075,0.00143075
25,3132.03,1.86381,1.00694,0.00136,0.89426,0.80831,0.8768,0.4541,1.70541,0.87439,0.00201,0.001406,0.001406,0.001406
26,3259.06,1.85571,0.96434,0.00141,0.90865,0.76358,0.84159,0.40886,1.84481,0.9668,0.0021,0.00138125,0.00138125,0.00138125
27,3384.32,1.85812,0.967,0.00143,0.89098,0.76358,0.83693,0.42839,1.77054,0.94209,0.00206,0.0013565,0.0013565,0.0013565
28,3510.57,1.83276,0.92883,0.00138,0.87709,0.7476,0.84814,0.43446,1.74058,0.95158,0.00199,0.00133175,0.00133175,0.00133175
29,3636.57,1.82814,0.95339,0.00138,0.91407,0.77636,0.86214,0.45148,1.72977,0.85149,0.002,0.001307,0.001307,0.001307
30,3763.79,1.82731,0.91316,0.00136,0.91076,0.78275,0.85374,0.43597,1.81284,0.81672,0.00204,0.00128225,0.00128225,0.00128225
31,3884.11,1.81671,0.90322,0.00133,0.87648,0.80511,0.87164,0.44629,1.71142,0.8356,0.00198,0.0012575,0.0012575,0.0012575
32,3997.13,1.80345,0.89253,0.00133,0.90143,0.78892,0.87624,0.45826,1.71374,0.82789,0.00194,0.00123275,0.00123275,0.00123275
33,4110.1,1.81877,0.88735,0.00139,0.91462,0.78712,0.87585,0.45039,1.73753,0.84623,0.00197,0.001208,0.001208,0.001208
34,4223.08,1.76655,0.87704,0.00132,0.89328,0.80226,0.86841,0.4317,1.76926,0.82962,0.00203,0.00118325,0.00118325,0.00118325
35,4336.08,1.75772,0.85516,0.0013,0.88131,0.80511,0.87399,0.45182,1.70835,0.81468,0.00194,0.0011585,0.0011585,0.0011585
36,4449.07,1.77644,0.8523,0.00132,0.88205,0.81789,0.88145,0.44345,1.73665,0.82773,0.00204,0.00113375,0.00113375,0.00113375
37,4562.07,1.77576,0.85903,0.00133,0.90029,0.80769,0.87893,0.45133,1.68969,0.84567,0.00197,0.001109,0.001109,0.001109
38,4675.16,1.76956,0.84632,0.0013,0.8897,0.83387,0.88042,0.46246,1.72292,0.7983,0.00198,0.00108425,0.00108425,0.00108425
39,4788.25,1.75643,0.8512,0.0013,0.91669,0.80861,0.88941,0.46135,1.67605,0.81546,0.00195,0.0010595,0.0010595,0.0010595
40,4901.26,1.69768,0.82045,0.00122,0.89284,0.8115,0.87678,0.46431,1.67224,0.84026,0.00194,0.00103475,0.00103475,0.00103475
41,5014.23,1.70637,0.81524,0.00123,0.91473,0.82255,0.87185,0.46007,1.68428,0.86522,0.00191,0.00101,0.00101,0.00101
42,5127.33,1.72252,0.77102,0.00126,0.90696,0.80511,0.87383,0.46447,1.69205,0.83468,0.00193,0.00098525,0.00098525,0.00098525
43,5240.64,1.70582,0.79475,0.00124,0.9161,0.82109,0.87451,0.45278,1.69306,0.81093,0.00194,0.0009605,0.0009605,0.0009605
44,5353.79,1.71997,0.84116,0.00127,0.93596,0.81789,0.89087,0.46291,1.71325,0.82657,0.00194,0.00093575,0.00093575,0.00093575
45,5466.94,1.71077,0.76144,0.00126,0.91444,0.82109,0.88999,0.46963,1.70742,0.78449,0.00196,0.000911,0.000911,0.000911
46,5579.94,1.6846,0.77159,0.00126,0.9444,0.81402,0.89634,0.46947,1.71006,0.76837,0.00196,0.00088625,0.00088625,0.00088625
47,5692.94,1.68233,0.72811,0.00123,0.92956,0.8011,0.88858,0.47161,1.68316,0.76584,0.00197,0.0008615,0.0008615,0.0008615
48,5806.06,1.67429,0.76067,0.00119,0.90076,0.8115,0.88593,0.45889,1.72442,0.84149,0.00197,0.00083675,0.00083675,0.00083675
49,5919.24,1.67892,0.75005,0.00122,0.89589,0.83067,0.88889,0.47101,1.66096,0.7806,0.0019,0.000812,0.000812,0.000812
50,6032.3,1.6715,0.76614,0.00122,0.94579,0.79872,0.8801,0.46569,1.67682,0.81419,0.00194,0.00078725,0.00078725,0.00078725
51,6145.29,1.65688,0.73126,0.00118,0.90524,0.82428,0.88752,0.46292,1.70094,0.77332,0.00198,0.0007625,0.0007625,0.0007625
52,6258.42,1.65354,0.72322,0.0012,0.93771,0.81757,0.88268,0.45304,1.71579,0.83079,0.00198,0.00073775,0.00073775,0.00073775
