epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2304,3.13822,5.08862,0.00339,0.42264,0.26667,0.26005,0.13599,2.19183,8.38453,0.00222,0.0005,0.0005,0.0005
2,55.4965,2.87655,3.30892,0.00225,0.48635,0.26667,0.27746,0.14933,2.25694,8.63462,0.00221,0.00100738,0.00100738,0.00100738
3,72.231,2.64009,2.46106,0.00222,0.57583,0.33333,0.39584,0.1961,2.28983,2.25216,0.0023,0.00150189,0.00150189,0.00150189
4,89.639,2.61685,2.43574,0.00205,0.73255,0.4,0.50833,0.22322,2.19492,1.6788,0.00227,0.00192575,0.00192575,0.00192575
5,105.827,2.31931,2.22328,0.00189,0.86147,0.4,0.489,0.23563,2.05002,2.0682,0.00202,0.001901,0.001901,0.001901
6,122.143,2.36447,2.25966,0.00173,0.798,0.33333,0.44608,0.22372,2.12372,2.78906,0.00199,0.00187625,0.00187625,0.00187625
7,138.482,2.26543,2.05337,0.00165,0.94919,0.33333,0.46128,0.24648,2.12495,1.70423,0.00213,0.0018515,0.0018515,0.0018515
8,154.642,2.2482,1.89514,0.00156,0.5176,0.46667,0.4373,0.18894,2.24315,1.66223,0.00225,0.00182675,0.00182675,0.00182675
9,169.819,2.27851,1.79777,0.0017,0.65858,0.53333,0.52075,0.22753,2.15308,1.67045,0.00211,0.001802,0.001802,0.001802
10,184.829,2.13093,1.64041,0.00164,0.64104,0.59558,0.49692,0.20924,2.13876,1.69131,0.00203,0.00177725,0.00177725,0.00177725
11,199.925,2.17315,1.78622,0.00166,0.56511,0.6,0.58772,0.21865,2.10119,1.59963,0.00199,0.0017525,0.0017525,0.0017525
12,217.831,2.06955,1.57224,0.00142,0.79985,0.53288,0.59065,0.21576,2.16634,1.53144,0.00206,0.00172775,0.00172775,0.00172775
13,232.699,2.15809,1.60298,0.00156,0.85297,0.46667,0.56966,0.19854,2.18241,1.6693,0.00213,0.001703,0.001703,0.001703
14,247.509,2.23626,1.41854,0.00143,0.87321,0.53333,0.62628,0.231,2.22061,1.5264,0.00213,0.00167825,0.00167825,0.00167825
15,265.065,2.21261,1.54082,0.00156,0.6832,0.6,0.58412,0.21714,2.15671,1.7952,0.00209,0.0016535,0.0016535,0.0016535
16,282.44,2.18367,1.35462,0.00158,0.87439,0.46438,0.57065,0.23098,2.22521,1.75664,0.00217,0.00162875,0.00162875,0.00162875
17,299.299,2.20199,1.46716,0.00158,0.73735,0.6,0.55074,0.2075,2.24796,1.68732,0.00219,0.001604,0.001604,0.001604
18,315.588,2.00429,1.4647,0.00151,0.88537,0.6,0.64228,0.25199,2.20262,1.4004,0.00214,0.00157925,0.00157925,0.00157925
19,332.49,2.26377,1.33693,0.00164,0.9799,0.6,0.66662,0.27868,2.22801,1.05354,0.0022,0.0015545,0.0015545,0.0015545
20,348.545,2.05724,1.30042,0.00136,0.82943,0.6,0.72512,0.27,2.25234,1.27009,0.00224,0.00152975,0.00152975,0.00152975
21,365.155,2.1786,1.28755,0.00143,1,0.65888,0.69439,0.25386,2.22641,1.16537,0.00221,0.001505,0.001505,0.001505
22,384.317,2.06547,1.30593,0.00135,0.89955,0.59728,0.68557,0.25246,2.31665,1.42478,0.00232,0.00148025,0.00148025,0.00148025
23,401.182,2.18497,1.27584,0.00137,0.87673,0.53333,0.62246,0.24309,2.40387,1.08648,0.0024,0.0014555,0.0014555,0.0014555
24,417.717,1.90619,1.20012,0.0013,0.8715,0.53333,0.55177,0.21817,2.47654,1.15706,0.00248,0.00143075,0.00143075,0.00143075
25,435.742,1.96755,1.156,0.0013,1,0.52127,0.60333,0.24655,2.39214,1.392,0.0024,0.001406,0.001406,0.001406
26,453.349,1.90453,1.2092,0.0015,0.97153,0.66667,0.69229,0.25345,2.24107,1.41249,0.00226,0.00138125,0.00138125,0.00138125
27,472.087,1.99752,1.23459,0.00134,0.90023,0.66667,0.69837,0.25244,2.18795,1.32177,0.00214,0.0013565,0.0013565,0.0013565
28,488.379,1.9915,1.18944,0.00134,1,0.59364,0.68351,0.28878,2.17135,1.24507,0.00221,0.00133175,0.00133175,0.00133175
29,504.981,1.97532,1.22042,0.00138,1,0.64856,0.67606,0.28211,2.12192,1.5392,0.0021,0.001307,0.001307,0.001307
30,523.661,1.97002,1.17797,0.00135,0.83021,0.66667,0.67708,0.2495,2.04277,1.62809,0.00194,0.00128225,0.00128225,0.00128225
31,540.446,1.85027,1.12036,0.0012,0.94839,0.66667,0.70426,0.30743,1.91321,1.4017,0.00178,0.0012575,0.0012575,0.0012575
32,556.42,1.86852,1.13815,0.0012,0.90721,0.65285,0.68657,0.27642,2.07365,1.41582,0.00195,0.00123275,0.00123275,0.00123275
33,573.885,1.95954,1.11604,0.00127,0.87665,0.6,0.61256,0.24275,2.23367,1.15096,0.00213,0.001208,0.001208,0.001208
34,590.004,1.95718,1.115,0.00135,0.91349,0.6,0.63309,0.26554,2.34602,1.24831,0.00227,0.00118325,0.00118325,0.00118325
35,608.318,2.03762,1.13413,0.00129,1,0.59099,0.71335,0.27322,2.31376,1.33458,0.0023,0.0011585,0.0011585,0.0011585
36,628.391,1.98733,1.03449,0.00128,0.79805,0.66667,0.72833,0.27084,2.22395,1.10931,0.00221,0.00113375,0.00113375,0.00113375
37,652.91,1.83293,1.04982,0.00115,0.85007,0.75711,0.78529,0.2666,2.20859,1.09895,0.00222,0.001109,0.001109,0.001109
38,680.824,1.80984,0.96971,0.00122,0.76612,0.6559,0.64289,0.29327,1.97393,1.148,0.0019,0.00108425,0.00108425,0.00108425
39,712.132,1.92052,1.10331,0.00119,0.83545,0.73333,0.72887,0.29572,1.96935,1.17306,0.00188,0.0010595,0.0010595,0.0010595
40,737.83,1.87096,1.02502,0.00119,0.88433,0.73333,0.76538,0.31222,2.05422,1.19533,0.00199,0.00103475,0.00103475,0.00103475
41,764.332,1.88818,0.95051,0.00121,0.82387,0.66667,0.67484,0.28406,2.15925,1.48458,0.00211,0.00101,0.00101,0.00101
42,786.902,2.03898,1.12782,0.00125,0.90849,0.66222,0.67762,0.26237,2.25713,1.12205,0.00223,0.00098525,0.00098525,0.00098525
43,809.623,1.82837,0.96756,0.00117,0.97332,0.73333,0.77182,0.32045,2.11288,1.01833,0.00207,0.0009605,0.0009605,0.0009605
44,835.738,1.91361,0.9919,0.00124,1,0.71282,0.77502,0.29424,2.29986,0.95417,0.00226,0.00093575,0.00093575,0.00093575
45,860.663,1.81686,1.03202,0.00118,0.89319,0.73333,0.75583,0.26011,2.32371,1.00782,0.00229,0.000911,0.000911,0.000911
46,884.667,1.82589,1.02629,0.00117,1,0.72257,0.775,0.29918,2.24401,0.94164,0.0022,0.00088625,0.00088625,0.00088625
47,909.22,1.74624,0.91879,0.00104,0.98412,0.66667,0.72341,0.28552,2.35446,0.87988,0.00229,0.0008615,0.0008615,0.0008615
48,936.608,1.81041,0.90342,0.00119,0.98423,0.66667,0.70774,0.27119,2.36765,0.85214,0.0023,0.00083675,0.00083675,0.00083675
49,963.511,1.72685,0.82996,0.0012,1,0.66604,0.71049,0.2909,2.34459,0.82764,0.00228,0.000812,0.000812,0.000812
50,989.314,1.72594,0.92846,0.00105,0.97984,0.66667,0.76923,0.31901,2.24312,0.91028,0.00217,0.00078725,0.00078725,0.00078725
51,1012.8,1.78073,0.961,0.0011,0.89102,0.73333,0.79971,0.32334,2.20098,0.90316,0.00212,0.0007625,0.0007625,0.0007625
52,1038.06,1.89642,0.93773,0.00116,0.89044,0.73333,0.78902,0.29365,2.20671,0.99525,0.00216,0.00073775,0.00073775,0.00073775
53,1061.63,1.82667,0.87169,0.00107,0.98912,0.66667,0.79561,0.29356,2.23926,0.93249,0.0022,0.000713,0.000713,0.000713
54,1086.41,1.76659,0.76188,0.00107,0.8931,0.66667,0.78953,0.3019,2.20781,0.97183,0.00216,0.00068825,0.00068825,0.00068825
55,1110.09,1.60407,0.78247,0.00102,0.83264,0.66667,0.77593,0.26918,2.22402,1.00544,0.00216,0.0006635,0.0006635,0.0006635
56,1133.13,1.75149,0.84089,0.00113,0.9024,0.66667,0.79402,0.29441,2.25546,1.01132,0.00217,0.00063875,0.00063875,0.00063875
57,1156.65,1.62354,0.80578,0.00105,0.84322,0.71805,0.79483,0.27994,2.24176,1.03941,0.00217,0.000614,0.000614,0.000614
58,1183.9,1.71208,0.78764,0.00107,0.82821,0.66667,0.78322,0.28327,2.32394,1.03278,0.00226,0.00058925,0.00058925,0.00058925
59,1206.57,1.77153,0.86869,0.00106,0.83139,0.66667,0.76258,0.2823,2.2871,1.06668,0.00221,0.0005645,0.0005645,0.0005645
60,1229.44,1.72142,0.78321,0.00106,0.90832,0.66103,0.79652,0.32809,2.16252,1.05715,0.00209,0.00053975,0.00053975,0.00053975
61,1251.98,1.57695,0.74799,0.00102,0.84239,0.71374,0.7991,0.32336,2.20752,0.99596,0.0021,0.000515,0.000515,0.000515
62,1275.73,1.79567,0.85671,0.00108,0.97297,0.66667,0.7936,0.30608,2.22763,1.03457,0.00211,0.00049025,0.00049025,0.00049025
63,1300.54,1.55857,0.80872,0.00098,0.9712,0.66667,0.79152,0.30582,2.1541,1.07643,0.00205,0.0004655,0.0004655,0.0004655
64,1323.03,1.60967,0.71047,0.00102,0.82668,0.66667,0.79373,0.31886,2.18245,1.01177,0.00206,0.00044075,0.00044075,0.00044075
65,1346.89,1.62192,0.7378,0.00094,0.90747,0.65478,0.7959,0.31899,2.10229,1.03539,0.00201,0.000416,0.000416,0.000416
66,1370.34,1.76992,0.77355,0.00106,0.84282,0.66667,0.80266,0.33528,2.09616,0.92618,0.00203,0.00039125,0.00039125,0.00039125
