epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.778,2.26339,23.68,0.00187,0.77241,0.53982,0.65583,0.30098,1.92948,15.769,0.00218,0.000661654,0.000661654,0.000661654
2,208.993,2.13382,12.3119,0.00163,0.61631,0.5885,0.62276,0.30112,1.81957,8.03322,0.00214,0.00131188,0.00131188,0.00131188
3,301.202,2.10505,7.06102,0.00162,0.8241,0.72566,0.79904,0.38533,1.79535,4.95579,0.00202,0.00194561,0.00194561,0.00194561
4,392.166,2.00132,4.52323,0.00151,0.75789,0.67699,0.74891,0.37844,1.76711,3.1799,0.00198,0.00192575,0.00192575,0.00192575
5,482.655,2.03826,3.18424,0.00151,0.90494,0.72566,0.8416,0.41818,1.69993,2.32253,0.00192,0.001901,0.001901,0.001901
6,574.034,1.96661,2.38504,0.00157,0.86468,0.73009,0.83078,0.3955,1.8081,1.86979,0.002,0.00187625,0.00187625,0.00187625
7,667.142,1.99471,1.88315,0.00151,0.78622,0.77434,0.83358,0.41366,1.77511,1.57337,0.00199,0.0018515,0.0018515,0.0018515
8,767.878,1.99642,1.67549,0.00153,0.91688,0.76106,0.86271,0.43175,1.7542,1.32342,0.00194,0.00182675,0.00182675,0.00182675
9,871.289,2.03585,1.50313,0.00154,0.83226,0.81858,0.83748,0.39784,1.82463,1.27716,0.00207,0.001802,0.001802,0.001802
10,967.703,2.0029,1.40428,0.00151,0.81473,0.81858,0.85885,0.41311,1.70789,1.30061,0.00194,0.00177725,0.00177725,0.00177725
11,1052.92,1.94444,1.30736,0.00144,0.88134,0.74779,0.84357,0.39011,1.84404,1.2661,0.00209,0.0017525,0.0017525,0.0017525
12,1143.51,1.9981,1.24168,0.00155,0.8931,0.82301,0.881,0.41953,1.88553,1.00255,0.00216,0.00172775,0.00172775,0.00172775
13,1230.66,1.94503,1.16294,0.00146,0.91411,0.79646,0.86539,0.43026,1.79634,1.00302,0.00199,0.001703,0.001703,0.001703
14,1317.66,1.9055,1.10799,0.00148,0.905,0.80088,0.89695,0.44362,1.75747,0.98753,0.00198,0.00167825,0.00167825,0.00167825
15,1398.59,1.90859,1.10669,0.00144,0.86456,0.81908,0.88223,0.42737,1.83108,0.97162,0.00206,0.0016535,0.0016535,0.0016535
16,1489.99,1.8998,1.04995,0.00145,0.91455,0.85244,0.8864,0.41458,1.88625,0.88318,0.00222,0.00162875,0.00162875,0.00162875
17,1575.1,1.91058,0.99771,0.00141,0.92351,0.82743,0.90293,0.4449,1.8188,0.84321,0.00206,0.001604,0.001604,0.001604
18,1670.66,1.90718,0.98922,0.00145,0.90621,0.82743,0.88899,0.43933,1.80227,0.92568,0.00209,0.00157925,0.00157925,0.00157925
19,1761.95,1.93297,1.01185,0.00145,0.95115,0.83628,0.90289,0.44025,1.84017,0.83619,0.00203,0.0015545,0.0015545,0.0015545
20,1849.95,1.88297,1.00421,0.00144,0.81623,0.78761,0.85708,0.41435,1.81447,1.17712,0.00209,0.00152975,0.00152975,0.00152975
21,1932.56,1.9046,0.96931,0.00145,0.86942,0.86283,0.88792,0.43492,1.73136,1.02564,0.00195,0.001505,0.001505,0.001505
22,2006.67,1.83644,0.91407,0.00135,0.79889,0.84372,0.86651,0.42102,1.81781,0.83653,0.002,0.00148025,0.00148025,0.00148025
23,2081.81,1.852,0.8602,0.00137,0.91078,0.84513,0.90925,0.44783,1.80562,0.78091,0.00206,0.0014555,0.0014555,0.0014555
24,2159.78,1.86011,0.86381,0.00141,0.93608,0.79204,0.8949,0.42565,1.84083,0.82717,0.00203,0.00143075,0.00143075,0.00143075
25,2231.65,1.81271,0.84771,0.00139,0.92691,0.89777,0.92991,0.45278,1.80074,0.72134,0.00203,0.001406,0.001406,0.001406
26,2309.91,1.85674,0.86887,0.00141,0.9429,0.87682,0.9346,0.4727,1.73859,0.78917,0.00194,0.00138125,0.00138125,0.00138125
27,2381.59,1.84615,0.86866,0.00135,0.90164,0.85398,0.90678,0.41094,1.94095,0.7791,0.00217,0.0013565,0.0013565,0.0013565
28,2462,1.85054,0.83754,0.00138,0.91756,0.83717,0.90251,0.41632,1.94533,0.88608,0.00219,0.00133175,0.00133175,0.00133175
29,2537.09,1.89244,0.88215,0.0014,0.91389,0.87611,0.91629,0.46122,1.77239,0.77171,0.00202,0.001307,0.001307,0.001307
30,2608.81,1.82652,0.84202,0.00133,0.93678,0.85231,0.91246,0.4482,1.79268,0.74513,0.00199,0.00128225,0.00128225,0.00128225
31,2684.4,1.83028,0.80965,0.00135,0.83604,0.8799,0.90927,0.43036,1.81197,0.77597,0.00202,0.0012575,0.0012575,0.0012575
32,2759.97,1.78642,0.79095,0.00133,0.89067,0.86283,0.9081,0.45882,1.75954,0.80774,0.00196,0.00123275,0.00123275,0.00123275
33,2840.51,1.77851,0.77292,0.00133,0.94072,0.84261,0.9102,0.46737,1.81854,0.73499,0.00203,0.001208,0.001208,0.001208
34,2915.65,1.79192,0.81006,0.00137,0.9145,0.85186,0.90868,0.45966,1.77399,0.78525,0.00198,0.00118325,0.00118325,0.00118325
