epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.467,2.58687,3.32434,0.00237,0.55167,0.56329,0.50524,0.21468,2.13292,1.86289,0.00255,0.000659176,0.000659176,0.000659176
2,163.477,2.16877,1.89192,0.00177,0.78046,0.6519,0.70804,0.31306,1.92209,1.45238,0.00231,0.00130944,0.00130944,0.00130944
3,208.589,2.16174,1.71907,0.00169,0.75187,0.70959,0.72981,0.35717,1.81776,1.31383,0.00215,0.00194319,0.00194319,0.00194319
4,253.746,2.08065,1.545,0.00162,0.76876,0.71519,0.76408,0.36034,1.86466,1.39709,0.00221,0.00192575,0.00192575,0.00192575
5,298.932,2.07244,1.5043,0.00159,0.84425,0.78908,0.83138,0.39394,1.78686,1.05886,0.0021,0.001901,0.001901,0.001901
6,344.109,1.99005,1.39866,0.00153,0.84415,0.6962,0.77073,0.39715,1.71637,1.33826,0.00209,0.00187625,0.00187625,0.00187625
7,389.339,1.99641,1.32711,0.00147,0.77941,0.71519,0.7663,0.38541,1.84109,1.04076,0.00223,0.0018515,0.0018515,0.0018515
8,434.628,1.94207,1.17293,0.00153,0.86467,0.76837,0.79585,0.39674,1.89033,1.01127,0.00225,0.00182675,0.00182675,0.00182675
9,479.726,1.9287,1.19767,0.00151,0.81279,0.78481,0.82132,0.42528,1.76158,0.94323,0.00213,0.001802,0.001802,0.001802
10,524.867,1.95021,1.07066,0.0015,0.88494,0.81013,0.84519,0.37033,2.01269,0.97185,0.00238,0.00177725,0.00177725,0.00177725
11,570.042,1.97429,1.16147,0.00155,0.89305,0.78481,0.83495,0.43311,1.82625,0.80221,0.00219,0.0017525,0.0017525,0.0017525
12,626.921,1.9148,1.08905,0.00141,0.86361,0.76142,0.84742,0.44734,1.70763,0.80873,0.00206,0.00172775,0.00172775,0.00172775
13,685.648,1.91353,1.06234,0.00144,0.75982,0.81013,0.79702,0.42076,1.8019,0.88024,0.00216,0.001703,0.001703,0.001703
14,747.773,1.82028,0.97245,0.00138,0.77531,0.80805,0.82066,0.39647,1.89384,0.91074,0.00225,0.00167825,0.00167825,0.00167825
15,821.796,1.8926,0.96036,0.00144,0.8492,0.81975,0.85117,0.43475,1.7919,0.851,0.00211,0.0016535,0.0016535,0.0016535
16,881.854,1.88944,0.96389,0.00141,0.87866,0.825,0.86598,0.41977,1.93747,0.87369,0.00224,0.00162875,0.00162875,0.00162875
17,941.614,1.88336,0.94674,0.00141,0.91492,0.81671,0.86512,0.45766,1.73136,0.7168,0.0021,0.001604,0.001604,0.001604
18,1000.43,1.90495,0.98313,0.00147,0.85996,0.81619,0.86962,0.43389,1.82027,0.79097,0.00217,0.00157925,0.00157925,0.00157925
19,1058.96,1.81503,0.92219,0.00137,0.85236,0.82278,0.89843,0.466,1.71758,0.77176,0.00204,0.0015545,0.0015545,0.0015545
20,1118.86,1.80945,0.8716,0.00138,0.92148,0.83544,0.90521,0.44445,1.80554,0.72395,0.00213,0.00152975,0.00152975,0.00152975
21,1184.78,1.79338,0.87878,0.00134,0.90154,0.86709,0.93123,0.47,1.77243,0.6765,0.00214,0.001505,0.001505,0.001505
22,1247.51,1.9097,0.92179,0.00138,0.90524,0.84651,0.91867,0.45476,1.80127,0.75405,0.00216,0.00148025,0.00148025,0.00148025
23,1310.95,1.867,0.90401,0.00139,0.90257,0.84177,0.91202,0.47937,1.72404,0.69261,0.00207,0.0014555,0.0014555,0.0014555
24,1382.81,1.83954,0.88707,0.00137,0.85921,0.81113,0.88173,0.46058,1.73448,0.72731,0.00209,0.00143075,0.00143075,0.00143075
25,1443.27,1.73683,0.85174,0.0013,0.90917,0.84177,0.91606,0.47287,1.74808,0.71252,0.00207,0.001406,0.001406,0.001406
26,1502.58,1.76216,0.83361,0.00133,0.92577,0.8038,0.89976,0.44307,1.79391,0.77531,0.00215,0.00138125,0.00138125,0.00138125
27,1567.75,1.70669,0.8199,0.00127,0.85012,0.82565,0.87032,0.44795,1.72894,0.82012,0.0021,0.0013565,0.0013565,0.0013565
28,1635.29,1.75631,0.85288,0.00129,0.91045,0.8365,0.90304,0.47666,1.67824,0.72729,0.002,0.00133175,0.00133175,0.00133175
29,1706.35,1.78833,0.85311,0.00129,0.92295,0.85443,0.907,0.4481,1.79904,0.79634,0.00217,0.001307,0.001307,0.001307
30,1772.41,1.8073,0.88523,0.00136,0.91275,0.79747,0.89956,0.44734,1.82061,0.79819,0.00219,0.00128225,0.00128225,0.00128225
31,1849.26,1.69998,0.82002,0.00129,0.87185,0.82911,0.88255,0.45664,1.73759,0.76007,0.00205,0.0012575,0.0012575,0.0012575
32,1920.92,1.73708,0.80553,0.00127,0.83962,0.86148,0.88585,0.47242,1.73696,0.69835,0.0021,0.00123275,0.00123275,0.00123275
33,1991.32,1.68256,0.80369,0.00124,0.90208,0.81628,0.90295,0.48284,1.66026,0.67927,0.00201,0.001208,0.001208,0.001208
34,2062.26,1.7252,0.74526,0.00127,0.91325,0.8038,0.89695,0.47529,1.71956,0.72204,0.00203,0.00118325,0.00118325,0.00118325
35,2136.82,1.6985,0.75327,0.00127,0.90011,0.85443,0.897,0.45878,1.78285,0.71117,0.00215,0.0011585,0.0011585,0.0011585
36,2207.15,1.63086,0.72624,0.0012,0.89145,0.8481,0.90102,0.47338,1.70813,0.73131,0.00208,0.00113375,0.00113375,0.00113375
37,2275.56,1.70154,0.7358,0.00126,0.88157,0.85443,0.89042,0.4586,1.77062,0.72186,0.00208,0.001109,0.001109,0.001109
