epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.755,1.28114,24.2479,0.00484,0.49797,0.42138,0.39005,0.24334,1.48008,27.6559,0.007,0.000662005,0.000662005,0.000662005
2,468.337,1.36022,14.7009,0.00587,0.55629,0.59748,0.60013,0.34803,1.52007,13.9678,0.00758,0.00131223,0.00131223,0.00131223
3,674.132,1.44198,7.93962,0.0059,0.52353,0.59119,0.50184,0.33363,1.39448,8.35871,0.00686,0.00194595,0.00194595,0.00194595
4,806.808,1.41683,4.64063,0.00594,0.71834,0.56604,0.63465,0.4235,1.47518,4.55941,0.00736,0.00192575,0.00192575,0.00192575
5,952.699,1.44557,3.09676,0.00631,0.66785,0.64493,0.66142,0.39615,1.575,3.51198,0.00857,0.001901,0.001901,0.001901
6,1117.42,1.37888,2.4275,0.006,0.7708,0.61635,0.69168,0.46342,1.31158,2.57298,0.00584,0.00187625,0.00187625,0.00187625
7,1269.42,1.40495,1.99586,0.00558,0.73646,0.63522,0.68453,0.48402,1.30479,2.13477,0.00613,0.0018515,0.0018515,0.0018515
8,1419.55,1.37527,1.83577,0.00566,0.79999,0.70436,0.80937,0.53875,1.29828,1.77727,0.00582,0.00182675,0.00182675,0.00182675
9,1570.99,1.3396,1.6421,0.00587,0.8565,0.72956,0.82143,0.58619,1.28277,1.41574,0.00575,0.001802,0.001802,0.001802
10,1721.73,1.33051,1.53322,0.00554,0.87291,0.69182,0.79637,0.52833,1.34178,1.46359,0.00657,0.00177725,0.00177725,0.00177725
11,1872.94,1.31428,1.44269,0.00544,0.81837,0.7368,0.81474,0.53644,1.42619,1.39119,0.0071,0.0017525,0.0017525,0.0017525
12,2017.82,1.31968,1.43309,0.00527,0.7563,0.72956,0.78503,0.53165,1.30717,1.46763,0.00646,0.00172775,0.00172775,0.00172775
13,2108.79,1.29117,1.32004,0.00532,0.79577,0.76101,0.81451,0.54155,1.33883,1.34545,0.00646,0.001703,0.001703,0.001703
