epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.291,2.19491,25.9163,0.00171,0.65765,0.54321,0.57449,0.27052,1.97315,21.6854,0.00214,0.000662745,0.000662745,0.000662745
2,222.735,2.13211,13.0855,0.00158,0.63515,0.59462,0.62947,0.29458,1.87904,10.2255,0.00207,0.00131296,0.00131296,0.00131296
3,325.489,2.08151,6.77497,0.00156,0.83189,0.61092,0.71727,0.32409,1.79877,5.64819,0.00203,0.00194668,0.00194668,0.00194668
4,418.659,2.16596,3.90191,0.00166,0.74557,0.58025,0.69042,0.32937,1.85554,3.4682,0.00205,0.00192575,0.00192575,0.00192575
5,511.749,1.97551,2.73203,0.0015,0.74336,0.67943,0.78266,0.38544,1.7482,2.42429,0.00203,0.001901,0.001901,0.001901
6,604.943,1.98366,2.14907,0.00146,0.80737,0.65844,0.76492,0.37364,1.82491,2.12474,0.00207,0.00187625,0.00187625,0.00187625
7,697.895,2.03308,1.87754,0.00148,0.73226,0.68313,0.73501,0.34501,1.76982,2.98147,0.00202,0.0018515,0.0018515,0.0018515
8,798.049,2.04591,1.65387,0.0015,0.79434,0.61728,0.7347,0.32332,2.03252,1.7723,0.00227,0.00182675,0.00182675,0.00182675
9,901.668,1.99318,1.5307,0.00144,0.81934,0.71605,0.79831,0.42216,1.77422,1.59237,0.00201,0.001802,0.001802,0.001802
10,1006.27,1.98669,1.41268,0.00149,0.8216,0.68229,0.79728,0.40911,1.65842,1.49887,0.00186,0.00177725,0.00177725,0.00177725
11,1110.76,1.98091,1.37706,0.00147,0.7982,0.68367,0.79916,0.41405,1.65479,1.50952,0.00191,0.0017525,0.0017525,0.0017525
12,1211.91,1.96891,1.28994,0.00143,0.89102,0.7284,0.83614,0.40909,1.82252,1.2883,0.00211,0.00172775,0.00172775,0.00172775
13,1312.01,1.98708,1.29679,0.0015,0.78392,0.79012,0.84137,0.41874,1.77454,1.23654,0.00209,0.001703,0.001703,0.001703
14,1410.78,1.96204,1.22083,0.00144,0.75257,0.77602,0.81118,0.33959,2.02634,1.37947,0.00216,0.00167825,0.00167825,0.00167825
15,1509.75,1.97238,1.15866,0.00145,0.78633,0.7572,0.83151,0.41674,1.73403,1.13081,0.00194,0.0016535,0.0016535,0.0016535
16,1608.37,1.94369,1.12994,0.00149,0.88908,0.7284,0.83915,0.44443,1.66337,1.10286,0.00189,0.00162875,0.00162875,0.00162875
17,1705.87,1.90818,1.15742,0.00143,0.8954,0.7037,0.82752,0.41523,1.83426,1.2611,0.00209,0.001604,0.001604,0.001604
18,1801.74,1.90804,1.10757,0.00137,0.8855,0.72428,0.84431,0.43765,1.71114,1.05423,0.00191,0.00157925,0.00157925,0.00157925
19,1898.6,1.9635,1.11979,0.00145,0.90364,0.74486,0.8632,0.43437,1.83107,1.07105,0.00199,0.0015545,0.0015545,0.0015545
20,2001.89,1.87988,1.04029,0.00139,0.75541,0.76132,0.82329,0.41981,1.71911,1.35263,0.0019,0.00152975,0.00152975,0.00152975
21,2108.16,1.8876,1.03648,0.00138,0.89825,0.72428,0.86369,0.40523,1.85462,1.0099,0.00201,0.001505,0.001505,0.001505
